"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-01","1994","01","01","","9.7","","6.4","","8.1","","9.9","","0.0","","","","","","2.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-02","1994","01","02","","11.7","","5.9","","8.8","","9.2","","0.0","","","","","","1.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-03","1994","01","03","","9.4","","6.3","","7.9","","10.1","","0.0","","","","","","5.6","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-04","1994","01","04","","10.4","","7.0","","8.7","","9.3","","0.0","","","","","","5.6","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-05","1994","01","05","","9.6","","5.3","","7.5","","10.5","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-06","1994","01","06","","9.0","","2.3","","5.7","","12.3","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-07","1994","01","07","","8.4","","4.8","","6.6","","11.4","","0.0","","","","","","0.2","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-08","1994","01","08","","10.5","","5.8","","8.2","","9.8","","0.0","","","","","","0.8","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-09","1994","01","09","","11.5","","6.8","","9.2","","8.8","","0.0","","","","","","0.2","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-10","1994","01","10","","8.9","","6.4","","7.7","","10.3","","0.0","","","","","","1.8","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-11","1994","01","11","","8.7","","6.8","","7.8","","10.2","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-12","1994","01","12","","11.4","","7.4","","9.4","","8.6","","0.0","","","","","","0.6","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-13","1994","01","13","","10.6","","7.8","","9.2","","8.8","","0.0","","","","","","2.6","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-14","1994","01","14","","9.6","","7.8","","8.7","","9.3","","0.0","","","","","","0.2","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-15","1994","01","15","","10.0","","7.8","","8.9","","9.1","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-16","1994","01","16","","10.8","","7.4","","9.1","","8.9","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-17","1994","01","17","","9.6","","6.5","","8.1","","9.9","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-18","1994","01","18","","9.3","","5.1","","7.2","","10.8","","0.0","","","","","","0.2","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-19","1994","01","19","","9.1","","5.4","","7.3","","10.7","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-20","1994","01","20","","8.5","","4.4","","6.5","","11.5","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-21","1994","01","21","","9.9","","5.4","","7.7","","10.3","","0.0","","","","","","1.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-22","1994","01","22","","11.8","","6.9","","9.4","","8.6","","0.0","","","","","","0.4","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-23","1994","01","23","","10.1","","6.6","","8.4","","9.6","","0.0","","","","","","5.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-24","1994","01","24","","8.3","","6.7","","7.5","","10.5","","0.0","","","","","","0.4","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-25","1994","01","25","","8.4","","6.9","","7.7","","10.3","","0.0","","","","","","1.6","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-26","1994","01","26","","11.0","","6.3","","8.7","","9.3","","0.0","","","","","","1.6","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-27","1994","01","27","","9.4","","4.8","","7.1","","10.9","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-28","1994","01","28","","9.1","","2.5","","5.8","","12.2","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-29","1994","01","29","","9.4","","2.9","","6.2","","11.8","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-30","1994","01","30","","10.5","","3.6","","7.1","","10.9","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-01-31","1994","01","31","","7.7","","0.7","","4.2","","13.8","","0.0","","","","","","0.0","","","M","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-01","1994","02","01","","8.3","","1.2","","4.8","","13.2","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-02","1994","02","02","","6.2","","0.5","","3.4","","14.6","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-03","1994","02","03","","5.2","","1.2","","3.2","","14.8","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-04","1994","02","04","","7.1","","2.3","","4.7","","13.3","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-05","1994","02","05","","5.7","","1.0","","3.4","","14.6","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-06","1994","02","06","","5.0","","0.2","","2.6","","15.4","","0.0","","","","","","0.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-07","1994","02","07","","4.0","","-0.8","","1.6","","16.4","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-08","1994","02","08","","4.4","","-2.7","","0.9","","17.1","","0.0","","","","","","T","T","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-09","1994","02","09","","8.8","","1.1","","5.0","","13.0","","0.0","","","","","","2.8","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-10","1994","02","10","","8.5","","2.7","","5.6","","12.4","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-11","1994","02","11","","8.0","","1.4","","4.7","","13.3","","0.0","","","","","","2.8","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-12","1994","02","12","","8.3","","4.9","","6.6","","11.4","","0.0","","","","","","1.4","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-13","1994","02","13","","8.1","","2.9","","5.5","","12.5","","0.0","","","","","","23.8","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-14","1994","02","14","","8.2","","4.4","","6.3","","11.7","","0.0","","","","","","0.4","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-15","1994","02","15","","8.6","","5.7","","7.2","","10.8","","0.0","","","","","","13.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-16","1994","02","16","","10.0","","6.8","","8.4","","9.6","","0.0","","","","","","0.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-17","1994","02","17","","8.3","","5.6","","7.0","","11.0","","0.0","","","","","","5.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-18","1994","02","18","","9.3","","3.7","","6.5","","11.5","","0.0","","","","","","0.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-19","1994","02","19","","8.0","","2.5","","5.3","","12.7","","0.0","","","","","","0.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-20","1994","02","20","","11.2","","4.5","","7.9","","10.1","","0.0","","","","","","0.8","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-21","1994","02","21","","8.5","","2.5","","5.5","","12.5","","0.0","","","","","","1.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-22","1994","02","22","","9.8","","3.5","","6.7","","11.3","","0.0","","","","","","1.4","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-23","1994","02","23","","6.9","","0.9","","3.9","","14.1","","0.0","","","","","","0.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-24","1994","02","24","","3.4","","-0.8","","1.3","","16.7","","0.0","","","","","","0.0","C","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-25","1994","02","25","","3.6","","-1.1","","1.3","","16.7","","0.0","","","","","","0.0","C","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-26","1994","02","26","","7.8","","3.4","","5.6","","12.4","","0.0","","","","","","12.8","A","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-27","1994","02","27","","9.4","","5.5","","7.5","","10.5","","0.0","","","","","","3.4","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-02-28","1994","02","28","","12.4","","7.9","","10.2","","7.8","","0.0","","","","","","9.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-01","1994","03","01","","12.3","","8.2","","10.3","","7.7","","0.0","","","","","","9.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-02","1994","03","02","","15.2","","9.1","","12.2","","5.8","","0.0","","","","","","4.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-03","1994","03","03","","10.8","","7.2","","9.0","","9.0","","0.0","","","","","","3.6","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-04","1994","03","04","","10.8","","5.0","","7.9","","10.1","","0.0","","","","","","17.4","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-05","1994","03","05","","9.3","","2.2","","5.8","","12.2","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-06","1994","03","06","","9.3","","1.7","","5.5","","12.5","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-07","1994","03","07","","12.0","","2.7","","7.4","","10.6","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-08","1994","03","08","","12.9","","4.1","","8.5","","9.5","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-09","1994","03","09","","12.4","","5.0","","8.7","","9.3","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-10","1994","03","10","","12.8","","6.5","","9.7","","8.3","","0.0","","","","","","2.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-11","1994","03","11","","12.0","","4.7","","8.4","","9.6","","0.0","","","","","","0.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-12","1994","03","12","","13.5","","6.0","","9.8","","8.2","","0.0","","","","","","0.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-13","1994","03","13","","13.9","","7.2","","10.6","","7.4","","0.0","","","","","","1.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-14","1994","03","14","","11.3","","5.8","","8.6","","9.4","","0.0","","","","","","0.2","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-15","1994","03","15","","11.3","","5.5","","8.4","","9.6","","0.0","","","","","","0.6","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-16","1994","03","16","","11.1","","3.8","","7.5","","10.5","","0.0","","","","","","6.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-17","1994","03","17","","10.0","","4.7","","7.4","","10.6","","0.0","","","","","","8.0","","","","","","",""
"-123.33","48.41","VICTORIA GONZALES HTS","1018610","1994-03-18","1994","03","18","","9.3","","3.1","","6.2","","11.8","","0.0","","","","","","2.4","","","","","","",""
