date,wspd(m/s),wdir,airT,rh,tcld,tcvcld
Jan 01 2015 00:00,  5.82,298, -8.3, 77, 11,  0
Jan 01 2015 03:00,  7.57,299, -9.7, 72, 77,  0
Jan 01 2015 06:00,  8.39,301, -9.3, 78, 55,  0
Jan 01 2015 09:00,  6.17,303, -8.1, 81, 44,  0
Jan 01 2015 12:00,  6.11,307, -8.2, 86, 72,  0
Jan 01 2015 15:00,  5.28,298, -6.4, 92, 17,  0
Jan 01 2015 18:00,  2.72,283, -3.8, 92, 45,  0
Jan 01 2015 21:00,  1.79,211, -1.7, 92, 60,  0
Jan 02 2015 00:00,  2.01,176, -2.7, 95, 34,  0
Jan 02 2015 03:00,  2.57,163, -5.9, 96, 52,  0
Jan 02 2015 06:00,  2.59,159, -6.9, 96, 73,  0
Jan 02 2015 09:00,  3.87,159, -7.8, 99, 96,  0
Jan 02 2015 12:00,  3.40,154, -9.1, 99,100,  0
Jan 02 2015 15:00,  3.65,156,-10.1, 93,100,  0
Jan 02 2015 18:00,  2.67,192, -7.4, 89, 99,  0
Jan 02 2015 21:00,  3.38,249, -4.1, 92, 99,  0
Jan 03 2015 00:00,  3.80,284, -2.6, 92,100,  0
Jan 03 2015 03:00,  2.83,295, -5.1, 93, 98,  0
Jan 03 2015 06:00,  3.86,309, -4.8, 92, 84,  0
Jan 03 2015 09:00,  3.00,304, -5.8, 96, 79,  0
Jan 03 2015 12:00,  2.74,305, -6.0, 94, 81,  0
Jan 03 2015 15:00,  1.97,279, -6.5, 97, 29,  0
Jan 03 2015 18:00,  1.77,211, -4.6, 90, 56,  0
Jan 03 2015 21:00,  1.86,266, -3.7, 82, 58,  0
Jan 04 2015 00:00,  2.16,303, -6.8, 88, 99,  0
Jan 04 2015 03:00,  2.54,178, -7.3, 95,100,  0
Jan 04 2015 06:00,  1.73,157, -8.5, 96,100,  0
Jan 04 2015 09:00,  0.21,293, -8.3, 94, 98,  0
Jan 04 2015 12:00,  1.80,357, -8.8, 92,100,  0
Jan 04 2015 15:00,  1.84,113, -8.4, 94,100,  0
Jan 04 2015 18:00,  3.87,132, -6.1, 89,100,  0
Jan 04 2015 21:00,  7.15,137, -3.6, 89,100,  0
Jan 05 2015 00:00,  7.90,138, -3.9, 91,100,  0
Jan 05 2015 03:00,  8.17,150, -5.2, 92,100,  0
Jan 05 2015 06:00,  4.98,155, -5.3, 93,100,  0
Jan 05 2015 09:00,  1.82,180, -4.4, 94, 92,  0
Jan 05 2015 12:00,  3.22,295, -3.0, 94, 95,  0
Jan 05 2015 15:00,  2.39,313, -2.6, 94, 99,  0
Jan 05 2015 18:00,  3.53,301, -0.0, 92,100,  0
Jan 05 2015 21:00,  2.38,165, -0.0, 94,100,  0
Jan 06 2015 00:00,  1.40,145,  0.4, 96, 96,  0
Jan 06 2015 03:00,  2.91,162,  0.5, 95, 86,  0
Jan 06 2015 06:00,  2.05,170,  0.7, 97, 94,  0
Jan 06 2015 09:00,  2.48,193,  1.4, 96,100,  0
Jan 06 2015 12:00,  2.52,187,  1.6, 97,100,  0
Jan 06 2015 15:00,  2.29,218,  1.2, 96,100,  0
Jan 06 2015 18:00,  2.53,210,  1.5, 96,100,  0
Jan 06 2015 21:00,  2.68,256,  1.7, 95,100,  0
Jan 07 2015 00:00,  2.80,177,  2.5, 90, 60,  0
Jan 07 2015 03:00,  2.25,140,  0.8, 77, 99,  0
Jan 07 2015 06:00,  3.39,140,  0.5, 79, 99,  0
Jan 07 2015 09:00,  3.27,141,  0.4, 80,100,  0
Jan 07 2015 12:00,  3.12,136,  0.2, 83, 99,  0
Jan 07 2015 15:00,  3.43,124, -3.0, 89,100,  0
Jan 07 2015 18:00,  3.20,132, -0.4, 92, 62,  0
Jan 07 2015 21:00,  0.36,268,  0.4, 91,  2,  0
Jan 08 2015 00:00,  3.22,301, -0.8, 83,  4,  0
Jan 08 2015 03:00,  3.90,311, -3.0, 81,  5,  0
Jan 08 2015 06:00,  3.90,312, -4.1, 83,  8,  0
Jan 08 2015 09:00,  3.91,319, -5.0, 88,  8,  0
Jan 08 2015 12:00,  3.79,320, -5.7, 92, 10,  0
Jan 08 2015 15:00,  3.45,311, -6.2, 99, 24,  0
Jan 08 2015 18:00,  3.16,328, -1.5, 90, 14,  0
Jan 08 2015 21:00,  0.96, 18, -0.3, 93, 15,  0
