"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA003050520","1887-12","51.1833","-115.5667","1384.0","BANFF, AB CA","","","","","7",",C","0",",C","6",",C","","","5",",C","","","","","","","","","","","","","","","102",",,C,11,","12.2",",,C,08,","","","","","","","35.0",",,,C","228",",,,C","","","","","",""
"CA003050520","1888-01","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","4",",C","0",",C","3",",C","","","3",",C","22",",C","29",",C","25",",C","0",",C","0",",C","-43.9",",C,20,","","","89",",,C,23,","8.9",",,C,23,","8.9",",C,31,+","","","1124.6",",C","19.1",",,,C","191",",,,C","-17.95",",C","-11.91",",,,C","-23.98",",,,C"
"CA003050520","1888-02","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","3",",C","0",",C","2",",C","","","2",",C","3",",C","28",",C","7",",C","0",",C","0",",C","-28.3",",C,29,","","","216",",,C,12,","21.6",",,C,12,","8.9",",C,17,","","","646.7",",C","26.2",",,,C","262",",,,C","-3.97",",C","2.10",",,,C","-10.03",",,,C"
"CA003050520","1888-03","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","5",",C","0",",C","3",",C","","","2",",C","12",",C","31",",C","14",",C","0",",C","0",",C","-35.6",",C,02,","","","140",",,C,27,","14.0",",,C,27,","8.9",",C,16,+","","","814.3",",C","25.5",",,,C","212",",,,C","-7.94",",C","-0.60",",,,C","-15.27",",,,C"
"CA003050520","1888-04","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","6",",C","0",",C","3",",C","","","2",",C","0",",C","24",",C","1",",C","0",",C","0",",C","-15.6",",C,17,","","","33",",,C,08,","3.3",",,C,08,","20.0",",C,23,","","","486.8",",C","12.6",",,,C","81",",,,C","2.11",",C","9.14",",,,C","-4.93",",,,C"
"CA003050520","1888-11","51.1833","-115.5667","1384.0","BANFF, AB CA","","","","","1",",C","1",",C","1",",C","","","1",",C","","","","","","","","","","","","","","","229",",,C,12,","27.9",",,C,12,","","","","","","","27.9",",,,C","229",",,,C","","","","","",""
"CA003050520","1888-12","51.1833","-115.5667","1384.0","BANFF, AB CA","","","0.0",",C","4",",C","1",",C","2",",C","","","1",",C","10",",C","30",",C","14",",C","0",",C","0",",C","-30.0",",C,24,","","","368",",,C,22,","36.8",",,C,22,","7.2",",C,21,+","","","795.7",",C","41.9",",,,C","389",",,,C","-7.33",",C","-1.94",",,,C","-12.73",",,,C"
"CA003050520","1889-01","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","","0.0",",C","1",",C","1",",C","1",",C","","","1",",C","15",",C","31",",C","24",",C","0",",C","0",",C","-32.2",",C,13,","","","292",",,C,11,","29.2",",,C,11,","7.8",",C,24,","","","920.1",",C","29.2",",,,C","292",",,,C","-11.35",",C","-5.40",",,,C","-17.30",",,,C"
"CA003050520","1889-02","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","","0.0",",C","3",",C","0",",C","3",",C","","","3",",C","11",",C","27",",C","12",",C","0",",C","0",",C","-32.8",",C,16,","","","38",",,C,21,+","3.8",",,C,21,+","8.9",",C,27,","","","749.1",",C","10.1",",,,C","101",",,,C","-8.42",",C","-1.98",",,,C","-14.86",",,,C"
"CA003050520","1889-03","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","","0.0",",C","4",",C","0",",C","2",",C","","","2",",C","2",",C","30",",C","4",",C","0",",C","0",",C","-20.6",",C,15,","","","25",",,C,18,+","2.5",",,C,18,+","13.3",",C,27,+","","","565.7",",C","7.3",",,,C","58",",,,C","0.09",",C","6.91",",,,C","-6.74",",,,C"
"CA003050520","1889-04","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","","0.0",",C","4",",C","0",",C","4",",C","","","1",",C","0",",C","25",",C","0",",C","1",",C","0",",C","-8.9",",C,26,","","","76",",,C,02,","7.9",",,C,22,","21.1",",C,30,","","","399.4",",C","27.2",",,,C","76",",,,C","5.02",",C","13.15",",,,C","-3.11",",,,C"
"CA003050520","1889-05","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","","0.0",",C","6",",C","1",",C","6",",C","","","2",",C","0",",C","22",",C","0",",C","8",",C","0",",C","-8.3",",C,02,","","","114",",,C,07,","31.8",",,C,07,","25.0",",C,02,","","","332.1",",C","68.3",",,,C","139",",,,C","7.62",",C","16.68",",,,C","-1.44",",,,C"
"CA003050520","1890-01","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","11",",C","0",",C","6",",C","","","6",",C","26",",C","31",",C","27",",C","0",",C","0",",C","-41.7",",C,02,","","","97",",,C,30,","9.7",",,C,30,","1.7",",C,08,","","","1178.6",",C","35.0",",,,C","350",",,,C","-19.69",",C","-12.97",",,,C","-26.40",",,,C"
"CA003050520","1890-02","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","8",",C","1",",C","4",",C","","","4",",C","18",",C","28",",C","22",",C","0",",C","0",",C","-45.0",",C,25,","","","279",",,C,03,","27.9",",,C,03,","2.8",",C,22,","","","961.5",",C","44.8",",,,C","448",",,,C","-16.01",",C","-8.11",",,,C","-23.90",",,,C"
"CA003050520","1890-03","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","5",",C","0",",C","3",",C","","","3",",C","5",",C","31",",C","11",",C","0",",C","0",",C","-24.4",",C,29,","","","102",",,C,16,","10.2",",,C,16,","8.3",",C,14,","","","706.6",",C","25.2",",,,C","252",",,,C","-4.46",",C","1.99",",,,C","-10.92",",,,C"
"CA003050520","1890-04","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","5",",C","0",",C","5",",C","","","5",",C","0",",C","26",",C","5",",C","0",",C","0",",C","-17.2",",C,19,","","","216",",,C,02,","21.6",",,C,02,","17.8",",C,28,","","","542.0",",C","53.1",",,,C","531",",,,C","0.27",",C","7.20",",,,C","-6.67",",,,C"
"CA003050520","1890-05","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","6",",C","2",",C","5",",C","","","1",",C","0",",C","16",",C","0",",C","0",",C","0",",C","-3.9",",C,26,","","","76",",,C,10,","27.4",",,C,27,","20.6",",C,08,","","","335.6",",C","70.7",",,,C","76",",,,C","7.51",",C","14.30",",,,C","0.71",",,,C"
"CA003050520","1890-06","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","6",",C","1",",C","4",",C","","","0",",C","0",",C","3",",C","0",",C","5",",C","0",",C","-1.1",",C,18,","","","0",",,C,30,+","30.5",",,C,17,","28.9",",C,30,","","","253.4",",C","61.8",",,,C","0",",,,C","9.89",",C","17.33",",,,C","2.44",",,,C"
"CA003050520","1890-07","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","5",",C","0",",C","3",",C","","","0",",C","0",",C","0",",C","0",",C","15",",C","0",",C","1.1",",C,31,","","","0",",,C,31,+","18.5",",,C,08,","31.7",",C,24,","164.1","C","164.1",",C","36.0",",,,C","0",",,,C","13.04",",C","21.02",",,,C","5.06",",,,C"
"CA003050520","1890-08","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","7",",C","0",",C","5",",C","","","0",",C","0",",C","1",",C","0",",C","16",",C","0",",C","-0.6",",C,18,","","","0",",,C,31,+","19.6",",,C,09,","26.1",",C,29,+","338.6","C","174.5",",C","60.7",",,,C","0",",,,C","12.70",",C","20.79",",,,C","4.62",",,,C"
"CA003050520","1890-09","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","5",",C","0",",C","4",",C","","","1",",C","0",",C","10",",C","0",",C","7",",C","0",",C","-4.4",",C,18,","","","211",",,C,10,","21.1",",,C,10,","22.8",",C,29,+","638.7","C","300.1",",C","38.9",",,,C","211",",,,C","8.33",",C","14.78",",,,C","1.88",",,,C"
"CA003050520","1890-10","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","6",",C","1",",C","5",",C","","","2",",C","0",",C","23",",C","0",",C","0",",C","0",",C","-11.7",",C,25,+","","","259",",,C,22,","25.9",",,C,22,","12.8",",C,31,+","1145.0","C","506.3",",C","44.2",",,,C","317",",,,C","2.00",",C","6.85",",,,C","-2.85",",,,C"
"CA003050520","1890-11","51.1833","-115.5667","1384.0","BANFF, AB CA","0.0","C","0.0",",C","0",",C","0",",C","0",",C","","","0",",C","0",",C","23",",C","2",",C","0",",C","0",",C","-12.8",",C,06,","","","0",",T,C,10,+","0.0",",T,C,10,+","12.2",",C,01,","1642.5","C","497.5",",C","0.0",",T,,C","0",",T,,C","1.75",",C","6.47",",,,C","-2.97",",,,C"
