"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-139.13","64.04","DAWSON A","2100402","2009-01-01","2009","01","01","†","-39.5","","-43.0","","-41.3","","59.3","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-02","2009","01","02","†","-45.0","","-46.0","","-45.5","","63.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-03","2009","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-04","2009","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-05","2009","01","05","†","-33.0","","-47.0","","-40.0","","58.0","","0.0","","0.0","","0.8","","0.4","","38","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-06","2009","01","06","†","-44.5","","-45.0","","-44.8","","62.8","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-07","2009","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-08","2009","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-09","2009","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-10","2009","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-11","2009","01","11","†","-35.0","","-48.0","","-41.5","","59.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-12","2009","01","12","†","-29.5","","-44.5","","-37.0","","55.0","","0.0","","0.0","","1.0","","0.8","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-13","2009","01","13","†","-21.0","","-35.0","","-28.0","","46.0","","0.0","","0.0","","5.8","","2.8","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-14","2009","01","14","†","-14.5","","-26.5","","-20.5","","38.5","","0.0","","0.0","","1.0","","0.4","","45","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-15","2009","01","15","†","-11.0","","-19.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-16","2009","01","16","†","-1.5","","-18.0","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-17","2009","01","17","†","-6.0","","-14.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-18","2009","01","18","†","-1.0","","-11.5","","-6.3","","24.3","","0.0","","8.4","","1.0","","9.4","","45","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-19","2009","01","19","†","0.0","","-4.0","","-2.0","","20.0","","0.0","","6.4","","0.4","","6.6","","40","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-20","2009","01","20","†","0.0","","-5.5","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-21","2009","01","21","†","-15.0","","-20.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-22","2009","01","22","†","-32.5","","-35.0","","-33.8","","51.8","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-23","2009","01","23","†","-31.0","","-38.0","","-34.5","","52.5","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-24","2009","01","24","†","-27.0","","-35.5","","-31.3","","49.3","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-25","2009","01","25","†","-22.0","","-32.0","","-27.0","","45.0","","0.0","","0.0","","0.2","","0.0","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-26","2009","01","26","†","-23.5","","-26.0","","-24.8","","42.8","","0.0","","0.0","","1.2","","0.2","","39","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-27","2009","01","27","†","-22.0","","-29.0","","-25.5","","43.5","","0.0","","0.0","","2.6","","1.2","","40","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-28","2009","01","28","†","-25.0","","-29.0","","-27.0","","45.0","","0.0","","0.0","","0.8","","0.0","","43","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-29","2009","01","29","†","-18.0","","-28.0","","-23.0","","41.0","","0.0","","0.0","","2.8","","1.6","","42","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-30","2009","01","30","†","-17.0","","-21.5","","-19.3","","37.3","","0.0","","0.0","","0.0","T","0.0","","45","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-01-31","2009","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-01","2009","02","01","†","-21.5","","-37.0","","-29.3","","47.3","","0.0","","0.0","","2.2","","1.2","","45","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-02","2009","02","02","†","","","","","","","","","","","0.0","","1.8","","1.2","","46","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-03","2009","02","03","†","-22.5","","-34.5","","-28.5","","46.5","","0.0","","0.0","","4.2","","3.8","","46","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-04","2009","02","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-05","2009","02","05","†","-30.5","","-40.0","","-35.3","","53.3","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-06","2009","02","06","†","-25.5","","-38.0","","-31.8","","49.8","","0.0","","0.0","","1.4","","1.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-07","2009","02","07","†","","","","","","","","","","","0.0","","0.0","T","0.0","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-08","2009","02","08","†","","","","","","","","","","","0.0","","0.6","","0.4","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-09","2009","02","09","†","-22.0","","-30.0","","-26.0","","44.0","","0.0","","0.0","","0.4","","0.2","","49","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-10","2009","02","10","†","-24.0","","-32.5","","-28.3","","46.3","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-11","2009","02","11","†","-25.0","","-38.0","","-31.5","","49.5","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-12","2009","02","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-13","2009","02","13","†","-25.0","","-35.5","","-30.3","","48.3","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-14","2009","02","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-15","2009","02","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-16","2009","02","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-17","2009","02","17","†","","","","","","","","","","","0.0","","1.6","","0.8","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-18","2009","02","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-19","2009","02","19","†","-11.5","","-19.0","","-15.3","","33.3","","0.0","","0.0","","0.0","T","0.0","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-20","2009","02","20","†","-5.0","","-16.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-21","2009","02","21","†","-6.5","","-19.5","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-22","2009","02","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-23","2009","02","23","†","-14.0","","-26.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-24","2009","02","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-25","2009","02","25","†","","","","","","","","","","","0.0","","0.0","T","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-26","2009","02","26","†","","","","","","","","","","","0.0","","0.2","","0.0","","46","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-27","2009","02","27","†","-8.0","","-16.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-02-28","2009","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-139.13","64.04","DAWSON A","2100402","2009-03-01","2009","03","01","†","","","","","","","","","","","0.0","","1.6","","1.0","","49","","","","",""
